time,open,high,low,close,tick_volume,spread,real_volume
2025-04-28 03:00:00,3280.88,3284.75,3280.39,3284.15,516,12,0
2025-04-28 03:05:00,3284.15,3286.09,3283.93,3284.08,508,12,0
2025-04-28 03:10:00,3284.08,3285.24,3281.31,3283.18,702,12,0
2025-04-28 03:15:00,3283.18,3292.17,3282.52,3289.72,949,12,0
2025-04-28 03:20:00,3289.72,3294.03,3289.2,3292.84,587,12,0
2025-04-28 03:25:00,3292.84,3295.29,3291.43,3292.63,513,12,0
2025-04-28 03:30:00,3292.69,3293.22,3290.68,3291.39,513,12,0
2025-04-28 03:35:00,3291.39,3294.16,3289.82,3293.85,614,12,0
2025-04-28 03:40:00,3293.85,3294.17,3292.57,3293.49,335,12,0
2025-04-28 03:45:00,3293.49,3294.27,3292.56,3293.14,316,12,0
2025-04-28 03:50:00,3293.14,3294.39,3292.68,3294.13,335,12,0
2025-04-28 03:55:00,3294.13,3294.3,3290.26,3290.87,639,12,0
2025-04-28 04:00:00,3290.87,3293.41,3290.72,3292.48,314,13,0
2025-04-28 04:05:00,3292.48,3292.74,3289.15,3289.54,429,12,0
2025-04-28 04:10:00,3289.54,3291.91,3289.08,3290.38,531,12,0
2025-04-28 04:15:00,3290.38,3291.91,3288.58,3291.65,353,12,0
2025-04-28 04:20:00,3291.65,3293.06,3290.99,3292.56,302,12,0
2025-04-28 04:25:00,3292.56,3294.17,3291.4,3293.81,283,12,0
2025-04-28 04:30:00,3293.51,3293.99,3292.09,3292.8,234,12,0
2025-04-28 04:35:00,3292.8,3294.32,3291.87,3293.97,186,12,0
2025-04-28 04:40:00,3293.97,3294.27,3291.27,3291.71,248,12,0
2025-04-28 04:45:00,3291.71,3297.68,3289.83,3296.64,751,12,0
2025-04-28 04:50:00,3296.64,3298.71,3295.27,3298.21,497,12,0
2025-04-28 04:55:00,3298.21,3299.12,3297.43,3298.95,303,12,0
2025-04-28 05:00:00,3298.95,3299.83,3297.08,3298.34,492,12,0
2025-04-28 05:05:00,3298.34,3299.77,3297.09,3297.4,253,12,0
2025-04-28 05:10:00,3297.4,3298.1,3296.02,3296.66,288,12,0
2025-04-28 05:15:00,3296.66,3297.6,3295.0,3297.3,376,12,0
2025-04-28 05:20:00,3297.3,3298.22,3296.48,3297.54,299,12,0
2025-04-28 05:25:00,3297.54,3299.01,3296.68,3297.47,381,12,0
2025-04-28 05:30:00,3297.47,3301.03,3295.12,3297.94,678,12,0
2025-04-28 05:35:00,3297.92,3299.37,3288.37,3291.83,1115,12,0
2025-04-28 05:40:00,3291.82,3292.46,3287.86,3288.27,659,12,0
2025-04-28 05:45:00,3288.27,3293.23,3287.91,3293.03,646,12,0
2025-04-28 05:50:00,3293.03,3295.24,3292.02,3292.94,481,12,0
2025-04-28 05:55:00,3292.94,3296.02,3292.85,3295.03,555,12,0
2025-04-28 06:00:00,3295.03,3295.56,3292.12,3292.85,617,12,0
2025-04-28 06:05:00,3292.85,3296.51,3292.85,3294.23,861,12,0
2025-04-28 06:10:00,3294.23,3295.95,3292.19,3292.36,687,12,0
2025-04-28 06:15:00,3292.36,3295.35,3288.12,3294.83,972,12,0
2025-04-28 06:20:00,3294.95,3295.05,3291.7,3292.62,844,12,0
2025-04-28 06:25:00,3292.62,3293.96,3291.55,3292.7,575,12,0
2025-04-28 06:30:00,3292.7,3292.79,3290.73,3291.76,484,12,0
2025-04-28 06:35:00,3291.76,3291.76,3285.44,3285.68,982,12,0
2025-04-28 06:40:00,3285.87,3287.48,3284.2,3287.17,931,12,0
2025-04-28 06:45:00,3287.17,3288.89,3285.92,3287.96,498,12,0
2025-04-28 06:50:00,3287.96,3287.96,3282.83,3283.06,735,12,0
2025-04-28 06:55:00,3283.06,3284.98,3281.83,3283.3,967,12,0
2025-04-28 07:00:00,3283.3,3288.44,3280.21,3280.45,1382,12,0
2025-04-28 07:05:00,3280.45,3286.51,3277.7,3286.1,1281,12,0
2025-04-28 07:10:00,3286.1,3286.9,3284.22,3286.12,576,12,0
2025-04-28 07:15:00,3286.12,3286.44,3280.63,3280.71,631,12,0
2025-04-28 07:20:00,3280.7,3282.76,3280.15,3280.82,489,12,0
2025-04-28 07:25:00,3280.82,3281.9,3278.62,3280.02,713,12,0
2025-04-28 07:30:00,3280.02,3284.0,3278.9,3283.54,662,12,0
2025-04-28 07:35:00,3283.54,3290.81,3282.15,3289.42,788,12,0
2025-04-28 07:40:00,3289.42,3291.58,3285.8,3289.43,1036,12,0
2025-04-28 07:45:00,3289.44,3292.45,3289.04,3290.17,622,12,0
2025-04-28 07:50:00,3290.17,3290.91,3287.16,3289.03,475,12,0
2025-04-28 07:55:00,3289.03,3291.75,3286.86,3287.45,599,12,0
2025-04-28 08:00:00,3287.45,3288.53,3284.09,3284.63,851,12,0
2025-04-28 08:05:00,3284.63,3287.22,3284.12,3286.4,653,12,0
2025-04-28 08:10:00,3286.4,3287.19,3283.76,3284.28,472,12,0
2025-04-28 08:15:00,3284.28,3285.47,3283.86,3285.16,417,12,0
2025-04-28 08:20:00,3285.16,3286.99,3284.82,3286.48,424,12,0
2025-04-28 08:25:00,3286.48,3286.48,3283.85,3284.24,388,12,0
2025-04-28 08:30:00,3284.24,3284.42,3281.82,3281.96,514,12,0
2025-04-28 08:35:00,3281.96,3284.81,3281.51,3282.89,626,12,0
2025-04-28 08:40:00,3282.69,3284.0,3281.99,3282.61,517,12,0
2025-04-28 08:45:00,3282.61,3283.12,3281.19,3281.42,436,12,0
2025-04-28 08:50:00,3281.42,3283.06,3279.14,3280.19,523,12,0
2025-04-28 08:55:00,3280.19,3282.89,3280.05,3282.59,507,12,0
2025-04-28 09:00:00,3282.59,3287.33,3282.45,3286.64,794,12,0
2025-04-28 09:05:00,3286.64,3286.64,3284.57,3285.25,602,12,0
2025-04-28 09:10:00,3285.25,3285.4,3282.59,3283.92,396,12,0
2025-04-28 09:15:00,3283.92,3283.98,3282.03,3282.47,417,12,0
2025-04-28 09:20:00,3282.47,3283.54,3281.49,3283.45,439,12,0
2025-04-28 09:25:00,3283.45,3283.59,3277.83,3278.31,948,12,0
2025-04-28 09:30:00,3278.31,3281.52,3276.61,3280.56,1055,12,0
2025-04-28 09:35:00,3280.56,3281.72,3279.55,3280.71,609,12,0
2025-04-28 09:40:00,3280.71,3280.71,3279.35,3279.83,394,12,0
2025-04-28 09:45:00,3279.67,3279.72,3277.91,3279.68,502,12,0
2025-04-28 09:50:00,3279.68,3279.91,3277.19,3277.32,527,12,0
2025-04-28 09:55:00,3277.31,3277.85,3274.47,3274.55,622,12,0
2025-04-28 10:00:00,3274.55,3278.57,3273.16,3276.79,1320,12,0
2025-04-28 10:05:00,3276.79,3279.17,3276.5,3277.98,929,12,0
2025-04-28 10:10:00,3277.98,3280.77,3277.16,3278.72,513,12,0
2025-04-28 10:15:00,3278.72,3281.8,3278.72,3280.31,513,12,0
2025-04-28 10:20:00,3280.31,3282.31,3279.93,3281.96,401,12,0
2025-04-28 10:25:00,3281.96,3283.91,3281.96,3283.89,486,12,0
2025-04-28 10:30:00,3283.89,3285.51,3283.55,3284.73,644,12,0
2025-04-28 10:35:00,3284.73,3288.49,3284.73,3287.28,746,12,0
2025-04-28 10:40:00,3287.28,3290.0,3287.11,3289.26,587,12,0
2025-04-28 10:45:00,3289.26,3289.97,3287.65,3288.77,595,12,0
2025-04-28 10:50:00,3288.77,3291.93,3288.77,3291.02,684,12,0
2025-04-28 10:55:00,3291.02,3291.09,3287.71,3289.6,867,12,0
2025-04-28 11:00:00,3289.6,3291.15,3287.84,3291.12,577,12,0
2025-04-28 11:05:00,3291.3,3294.4,3288.26,3289.06,972,12,0
2025-04-28 11:10:00,3289.06,3289.08,3287.04,3287.67,561,12,0
2025-04-28 11:15:00,3287.67,3289.05,3286.06,3287.55,681,12,0
